method,seed,step,test_error,reward,backward_frac,loss
PG,0,8000,0.04400002956390381,0.9599999785423279,1.0,-0.010757279582321644
PG,0,8100,0.03939998149871826,0.9599999785423279,1.0,-0.005426819436252117
PG,0,8200,0.039900004863739014,0.9700000286102295,1.0,0.0032749243546277285
PG,0,8300,0.04070001840591431,0.9700000286102295,1.0,0.0021023526787757874
PG,0,8400,0.038699984550476074,0.9800000190734863,1.0,-0.0013659544056281447
PG,0,8500,0.03799998760223389,0.9700000286102295,1.0,-0.008821375668048859
PG,0,8600,0.03960001468658447,0.9800000190734863,1.0,-0.004640565253794193
PG,0,8700,0.03759998083114624,0.9800000190734863,1.0,0.0026359017938375473
PG,0,8800,0.03700000047683716,0.9800000190734863,1.0,-0.010705254971981049
PG,0,8900,0.0340999960899353,0.9700000286102295,1.0,0.004227964673191309
PG,0,9000,0.03549998998641968,0.9800000190734863,1.0,-0.000316218618536368
PG,0,9100,0.03750002384185791,0.9900000095367432,1.0,0.006346886977553368
PG,0,9200,0.04110002517700195,0.9700000286102295,1.0,-0.0006237566121853888
PG,0,9300,0.03839999437332153,0.9599999785423279,1.0,-0.00048694602446630597
PG,0,9400,0.03479999303817749,0.9700000286102295,1.0,-0.0007169198361225426
PG,0,9500,0.0382000207901001,1.0,1.0,0.0012422931613400578
PG,0,9600,0.03509998321533203,0.9599999785423279,1.0,-0.03480110317468643
PG,0,9700,0.0350000262260437,0.9599999785423279,1.0,-0.0005852712783962488
PG,0,9800,0.034699976444244385,0.949999988079071,1.0,-0.008820739574730396
PG,0,9900,0.036499977111816406,0.949999988079071,1.0,-0.008367452770471573
PG,0,9999,0.0340999960899353,0.949999988079071,1.0,-0.006492228712886572
PG,1,0,0.8625999987125397,0.10000000149011612,1.0,0.0022260022815316916
PG,1,100,0.2849000096321106,0.6499999761581421,1.0,-0.20584434270858765
PG,1,200,0.25859999656677246,0.7300000190734863,1.0,-0.05434754490852356
PG,1,300,0.2437000274658203,0.8199999928474426,1.0,-0.08051586896181107
PG,1,400,0.17930001020431519,0.8199999928474426,1.0,-0.121612049639225
PG,1,500,0.17570000886917114,0.7900000214576721,1.0,-0.04862494394183159
PG,1,600,0.17549997568130493,0.8500000238418579,1.0,-0.06378550827503204
PG,1,700,0.11080002784729004,0.9100000262260437,1.0,-0.0377185121178627
PG,1,800,0.1021999716758728,0.8999999761581421,1.0,-0.005331137217581272
PG,1,900,0.0964999794960022,0.9300000071525574,1.0,-0.0445399284362793
PG,1,1000,0.0875999927520752,0.8399999737739563,1.0,-0.10968214273452759
PG,1,1100,0.09369999170303345,0.9100000262260437,1.0,-0.009276067838072777
PG,1,1200,0.08719998598098755,0.8600000143051147,1.0,-0.050389062613248825
PG,1,1300,0.0812000036239624,0.8700000047683716,1.0,-0.10143432766199112
PG,1,1400,0.08520001173019409,0.9100000262260437,1.0,-0.008140859194099903
PG,1,1500,0.07719999551773071,0.9100000262260437,1.0,-0.0029833975713700056
PG,1,1600,0.07920002937316895,0.9200000166893005,1.0,-0.005947860889136791
PG,1,1700,0.06760001182556152,0.9300000071525574,1.0,-0.10243179649114609
PG,1,1800,0.0746999979019165,0.9300000071525574,1.0,-0.033677347004413605
PG,1,1900,0.06370002031326294,0.9200000166893005,1.0,-0.025186490267515182
PG,1,2000,0.07239997386932373,0.9800000190734863,1.0,7.05135244061239e-05
PG,1,2100,0.06190001964569092,0.9599999785423279,1.0,-0.0013170004822313786
PG,1,2200,0.06169998645782471,0.9200000166893005,1.0,-0.08109517395496368
PG,1,2300,0.06980001926422119,0.9200000166893005,1.0,-0.011819238774478436
PG,1,2400,0.06370002031326294,0.9700000286102295,1.0,0.010278713889420033
PG,1,2500,0.06190001964569092,0.9800000190734863,1.0,-0.017249878495931625
PG,1,2600,0.06410002708435059,0.9599999785423279,1.0,-0.010723370127379894
PG,1,2700,0.05720001459121704,0.9599999785423279,1.0,-0.02239364944398403
PG,1,2800,0.056500017642974854,0.8999999761581421,1.0,0.006733492482453585
PG,1,2900,0.05640000104904175,0.9599999785423279,1.0,-0.01804160885512829
PG,1,3000,0.07099997997283936,0.9399999976158142,1.0,-0.006409033667296171
PG,1,3100,0.05720001459121704,0.9399999976158142,1.0,-0.0009385894518345594
PG,1,3200,0.05299997329711914,0.9700000286102295,1.0,-0.005864354781806469
PG,1,3300,0.05239999294281006,0.9399999976158142,1.0,-0.008090737275779247
PG,1,3400,0.07050001621246338,0.9200000166893005,1.0,-0.005360271781682968
PG,1,3500,0.05010002851486206,1.0,1.0,5.061291085439734e-05
PG,1,3600,0.05010002851486206,0.949999988079071,1.0,0.0017319612670689821
PG,1,3700,0.05010002851486206,0.9700000286102295,1.0,-0.015140686184167862
PG,1,3800,0.052799999713897705,0.9599999785423279,1.0,0.0060922736302018166
PG,1,3900,0.06360000371932983,0.9599999785423279,1.0,0.0042006648145616055
PG,1,4000,0.05519998073577881,0.9100000262260437,1.0,-0.0008354682940989733
PG,1,4100,0.04780000448226929,0.9399999976158142,1.0,-0.03952410817146301
PG,1,4200,0.05119997262954712,0.9599999785423279,1.0,-0.07884452491998672
PG,1,4300,0.05760002136230469,0.9800000190734863,1.0,0.0005035993526689708
PG,1,4400,0.04559999704360962,0.9300000071525574,1.0,-0.05856096372008324
PG,1,4500,0.0461999773979187,0.9599999785423279,1.0,0.0042748041450977325
PG,1,4600,0.05260002613067627,0.9300000071525574,1.0,-0.021938731893897057
PG,1,4700,0.045499980449676514,0.9700000286102295,1.0,0.00883424375206232
PG,1,4800,0.051500022411346436,0.9399999976158142,1.0,-0.017753224819898605
PG,1,4900,0.04509997367858887,0.8999999761581421,1.0,0.0032091704197227955
PG,1,5000,0.04559999704360962,0.9700000286102295,1.0,0.005878550000488758
PG,1,5100,0.044499993324279785,0.9700000286102295,1.0,-0.0005952770006842911
PG,1,5200,0.04070001840591431,0.9800000190734863,1.0,0.0023140336852520704
PG,1,5300,0.04400002956390381,0.9399999976158142,1.0,-0.0003501849714666605
PG,1,5400,0.04210001230239868,0.9599999785423279,1.0,-0.0030329993460327387
PG,1,5500,0.04009997844696045,0.9399999976158142,1.0,-0.00024021089484449476
PG,1,5600,0.04259997606277466,0.949999988079071,1.0,0.0020866706036031246
PG,1,5700,0.041499972343444824,0.9399999976158142,1.0,-0.10274884104728699
PG,1,5800,0.045499980449676514,0.9599999785423279,1.0,-0.0091891223564744
PG,1,5900,0.041400015354156494,0.9900000095367432,1.0,7.798836122674402e-06
PG,1,6000,0.04100000858306885,0.9900000095367432,1.0,-0.009009242989122868
PG,1,6100,0.04089999198913574,0.9700000286102295,1.0,-0.0007303784950636327
PG,1,6200,0.03960001468658447,0.949999988079071,1.0,0.0005671097314916551
PG,1,6300,0.03930002450942993,0.9599999785423279,1.0,-0.012790050357580185
PG,1,6400,0.04250001907348633,0.9800000190734863,1.0,-0.0006104042986407876
PG,1,6500,0.04400002956390381,0.9700000286102295,1.0,-0.0024117017164826393
PG,1,6600,0.03960001468658447,0.9599999785423279,1.0,-0.005450388882309198
PG,1,6700,0.038900017738342285,0.9399999976158142,1.0,-0.028670765459537506
PG,1,6800,0.042999982833862305,0.9300000071525574,1.0,-0.030323268845677376
PG,1,6900,0.044700026512145996,0.9399999976158142,1.0,0.007470962591469288
PG,1,7000,0.038600027561187744,0.9700000286102295,1.0,0.00941059086471796
PG,1,7100,0.04159998893737793,0.949999988079071,1.0,-0.0031440244056284428
PG,1,7200,0.04210001230239868,0.9800000190734863,1.0,-0.00132028479129076
PG,1,7300,0.03549998998641968,0.9200000166893005,1.0,-0.02553672343492508
PG,1,7400,0.04159998893737793,0.9599999785423279,1.0,-0.010067769326269627
PG,1,7500,0.04000002145767212,0.9700000286102295,1.0,-0.00039467046735808253
PG,1,7600,0.043299973011016846,0.9700000286102295,1.0,-0.00058385991724208
PG,1,7700,0.035899996757507324,0.9300000071525574,1.0,-0.004335840232670307
PG,1,7800,0.036400020122528076,0.949999988079071,1.0,-0.002040891209617257
PG,1,7900,0.04119998216629028,0.9700000286102295,1.0,-0.008384501561522484
PG,1,8000,0.03289997577667236,0.949999988079071,1.0,-0.0015120746102184057
PG,1,8100,0.036199986934661865,0.9599999785423279,1.0,-0.006193479523062706
PG,1,8200,0.04229998588562012,0.9599999785423279,1.0,-0.014326647855341434
PG,1,8300,0.034699976444244385,0.949999988079071,1.0,-0.002050111535936594
PG,1,8400,0.036400020122528076,0.9300000071525574,1.0,-0.010242206044495106
